,Collaborative,Description,Followers,Name,Tracks,URL,href,id
1176,False,From the UK to your ears - welcome to Grime Shutdown. Cover: Jaykae,696057,Grime Shutdown,80,https://open.spotify.com/playlist/37i9dQZF1DWSOkubnsDCSS,https://api.spotify.com/v1/playlists/37i9dQZF1DWSOkubnsDCSS,37i9dQZF1DWSOkubnsDCSS
1177,False,"This Valentine’s Day, turn your game up with a <a href=""https://spotify-valentines.com/"">Spotify Love Note</a>. Send a hidden message within the perfect playlist for your valentine...",464,Valentine's Day Love Notes,29,https://open.spotify.com/playlist/37i9dQZF1DWVTbhS8F9zAN,https://api.spotify.com/v1/playlists/37i9dQZF1DWVTbhS8F9zAN,37i9dQZF1DWVTbhS8F9zAN
1178,False,Grand Hustle Gang top picks chosen by Spotify.,86,Grand Hustle Gang Spotify Picks,41,https://open.spotify.com/playlist/4C0S1zvtcMtk2notLxCL1J,https://api.spotify.com/v1/playlists/4C0S1zvtcMtk2notLxCL1J,4C0S1zvtcMtk2notLxCL1J
1179,False,MMG top picks chosen by Spotify.,2188,MMG Spotify Picks,40,https://open.spotify.com/playlist/2nZndNnauO6SID8cjf4C9F,https://api.spotify.com/v1/playlists/2nZndNnauO6SID8cjf4C9F,2nZndNnauO6SID8cjf4C9F
1180,False,Shady Records top picks chosen by Spotify.,87,Shady Records Spotify Picks,41,https://open.spotify.com/playlist/3hR94iGaotWbCFv5eDe0gZ,https://api.spotify.com/v1/playlists/3hR94iGaotWbCFv5eDe0gZ,3hR94iGaotWbCFv5eDe0gZ
1181,False,Taylor Gang top picks chosen by Spotify.,53,Taylor Gang Spotify Picks,28,https://open.spotify.com/playlist/5VvCwhF9WqXKUaJLtJfeXn,https://api.spotify.com/v1/playlists/5VvCwhF9WqXKUaJLtJfeXn,5VvCwhF9WqXKUaJLtJfeXn
1182,False,"Beyond traditional musical structures, tonalities and harmonies.",6832,Avant-Jazz,69,https://open.spotify.com/playlist/37i9dQZF1DX3rTk9UUrbYS,https://api.spotify.com/v1/playlists/37i9dQZF1DX3rTk9UUrbYS,37i9dQZF1DX3rTk9UUrbYS
1183,False,Old meets new. Classic swing harmonies and modern beats.,49007,Electro Swing,79,https://open.spotify.com/playlist/37i9dQZF1DX3bH0P2uDnWA,https://api.spotify.com/v1/playlists/37i9dQZF1DX3bH0P2uDnWA,37i9dQZF1DX3bH0P2uDnWA
1184,False,Jazz meets funk and hip hop.,43386,Acid Jazz,52,https://open.spotify.com/playlist/37i9dQZF1DWXHghfFFOaS6,https://api.spotify.com/v1/playlists/37i9dQZF1DWXHghfFFOaS6,37i9dQZF1DWXHghfFFOaS6
1185,False,It’s a swing thing.,39834,Swing Revival,26,https://open.spotify.com/playlist/37i9dQZF1DWYotlhbgVGaH,https://api.spotify.com/v1/playlists/37i9dQZF1DWYotlhbgVGaH,37i9dQZF1DWYotlhbgVGaH
1186,False,"Rapid changes, complex progressions and long improvised segments.",17759,Let There Be Bop,22,https://open.spotify.com/playlist/37i9dQZF1DX6KyCRJzZneq,https://api.spotify.com/v1/playlists/37i9dQZF1DX6KyCRJzZneq,37i9dQZF1DX6KyCRJzZneq
1187,False,The blues with a British flavor.,16660,Brit Blues,32,https://open.spotify.com/playlist/37i9dQZF1DWWtGE7PB0aRR,https://api.spotify.com/v1/playlists/37i9dQZF1DWWtGE7PB0aRR,37i9dQZF1DWWtGE7PB0aRR
1188,False,Born in the Mississippi Delta - at the turn of the 20th century - the Delta Blues is one of the earliest and most influential styles of blues.,24390,Delta Blues,45,https://open.spotify.com/playlist/37i9dQZF1DWSTHVqvNCwNq,https://api.spotify.com/v1/playlists/37i9dQZF1DWSTHVqvNCwNq,37i9dQZF1DWSTHVqvNCwNq
1189,False,"Enjoy the electric, amplified sound that is Chicago Blues. ",38451,Chicago Blues,50,https://open.spotify.com/playlist/37i9dQZF1DX4rGCw5bMNp1,https://api.spotify.com/v1/playlists/37i9dQZF1DX4rGCw5bMNp1,37i9dQZF1DX4rGCw5bMNp1
